approximately	xấp xỉ;
to live in peace	an cư lạc nghiệp
to live together 100 years (set expression said to newlyweds)	bách niên giai lão
to make a slip of the tongue	buột miệng
to make clear one’s feeling	bày tỏ nỗi lòng
to make offerings	biện lễ
to make the first sale of the day	bán mở hàng cho ai
to manifest	biểu lộ
to modulate	biến điện
to move around	bay nhẩy
to not eat properly	biếng ăn
to not leave any traces	biệt tích
to not mind (hardship)	bao quản
to note down	biên chác
to offer (as a gift)	biếu
to offer for sale	bày bán
to organize	bao giàn
to outflank	bao sườn
to overshoot	bay quá mục tiêu
to pacify the border	an biên
to pacify the country	an bang
to pass a law	ban hành luật
to pass one’s old age peacefully	an hưởng tuổi già
to pay homage (to the dead)	ai điếu
to pinch someone’s cheek	beo má
to praise	ban khen
to press	bàn ép
to protect	bao yểm
to publish (research)	biên khảo
to pull out	bay ra
to realize	biết ‎ ý
to realize someone’s power	biết tay
to receive a gift (from someone above oneself)	bái lĩnh
to refuse	bác lời
to reject	bác bỏ
to reject (a request)	bác dơn
to reject a request	bác bỏ một thỉnh cầu
to reject a story	bác bỏ chuyện
to reject a theory	bác bỏ giả thiết
to reject a verdict	bác án
to reject an accusation	bác bỏ tố cáo
to reject criticisms	bác bỏ những chỉ trích
to release	buông
to represent	biểu tượng
to resell	bán lại
to rest	an tức
to rest (to regain one’s health)	an dưỡng
to rest peacefully	an nghĩ
to reward	ban thưởng
to romanize	La Tinh hóa
to run at full speed	ba chân bốn cẳng
to run fast (vehicles)	bon bon
to rush at someone	a vào người nào
to sacrifice	bán lỗ
to screen	bao che
to sell	bán chác
to sell (crops) in ears (at cheap price)	bán non
to sell all of one’s belongings	bán hết nhà cửa
to sell at a low or reduced price	bán rẻ
to sell at a lower price	bán hạ giá
to sell for cash	bán tiền mặt
to sell goods	bán hàng
to sell in bulk	bán mớ
to sell on commission	buôn hàng xách
to sell on credit	bán chịu
to sell oneself	bán mình
to sell one’s country	bán nước
to sell one’s country down the river	buôn dân bán nước
to sell one’s soul	bán linh hồn
to sell one’s soul to the devil	bán linh hồn cho quỷ
to sell someone down the river	bán đứng
to sell well	bán chạy
to sell wholesale	bán buôn
to sell without the right of redeeming	bán đứt
to set sail; sail	buồm
to set up a ladder	bác than
to show	biểu hiện
to show enthusiasm	bày tỏ nhiệt tâm
to show or demonstrate a talent	biểu diễn tài nghệ
to show support	bày tỏ sự hậu thuẫn
to show the nature (of something)	biểu lộ bản chất
to sleep an endless sleep	an giấc nghìn thu
to sleep soundly	an giấc
to sleep the long sleep	an giấc ngàn thu
to smuggle	buôn lậu
to smuggle drugs	buôn lậu ma tuy
to sovietize	Sô Viết hóa
to speak ill of	báng (1) butt, stock (of a gun); (2) ascites; (3)
to specify	biệt định
to stammer	bi ba bi bô
to strain	bong gân
to such an extent	biết dường nào
to surround	bao quanh
to take one’s leave	bái biệt
to talk about	bàn đến
to tell stories	bày chuyện
to thank respectfully	bái tạ
to tie up at the corners	buộc túm
to trade	buôn
to trade from afar	buôn chuyến
to transcribe	biên chép
to transfer	bàn giao
to transfer an office	bàn giao chức vụ
to transform	biến dạng
to translate	biên dịch
to transliterate someone’s name into vietnamese	Việt hóa tên người
to treat very well	biệt đãi
to use disrespectful language	báng bổ
to vanish	bay biến
to vietnamize	Việt hóa
to vote on a law	biểu quyết luật
to vote unanimously	biểu quyết nhất trí
to want to defecate	buồn ỉa
to want to laugh; funny	buồn cười
to want to urinate	buồn đái
to yoke the oxen	buộc bò vào ách
tombstone	bia đá
tonnage	bài thủy lượng
tonsil	a mi đan
toothbrush	bàn chải răng
topcoat	bành tô
touching	bi cảm
towed target	bia kéo
track roller	bánh lăn đỡ
track wheels	bánh treo nâng
trade	bán chác
trade; to trade	buôn bán
traffic	buôn gian bán lận
traffic security	an ninh hệ thống liên lạc
tragedy	bi kịch
tragic	bi đát
tragic comedy	bi hài kịch
tranquil	an thân
tranquility	an tĩnh
tranquilizer; to tranquillize	an thần
transform	biến đổi
transformer	biến áp
translation	bài dịch
transmission security	an ninh truyền tin
transmutation	biến tính
traverse flying	bay hình chữ chi
tread on	bám riết
tree houses	ba nóc nhà
tremendous	bao la
tri-; (2) father; (3) wave	ba
tricycle	ba gác
trike	ba gác
trinity	ba ngôi
troop unit	binh đoàn
troops	binh lính
tropical almond	bàng
trung quốc	TQ
trách nhiệm hữu hạn	TNHH
turkey	Thổ Nhĩ Kỳ
turkish	Thổ Nhĩ Kỳ
turning table	bàn xoay
turntable	bàn quay
turtle	ba ba
twilight	buổi hoàng hôn
typhoid fever	ban chua
tây lịch	TL
tổng giám đốc	TGĐ
tổng thống	TT
u.s. supreme court	Tòa Tối Cao Hoa Kỳ
u.s.-vietnam	Mỹ-Việt
uncared-for	ba vạ
uncle	bá phụ
undecided	bán tín bán nghi
under arms	binh khí sẵn sàng
underdeveloped	bán khai
understand thoroughly; knowledgeable	am hiểu
undisciplined	ba lăng nhăng
undulate	ba động
undulating flying	bay đảo lên đảo xuống
unexpectedly	ai dè
unhappy	buồn bã
unhappy morose; uninteresting; to want to	buồn rầu
unharmed	an thân
united nations	Liên Hiệp Quốc
united states	Huê kỳ
united states of america; american	Huê Kỳ
unrestrained	buông thả
unusual talent	biệt tài
ups and downs	ba chìm bẩy nổi
uranus	Thiên vương tinh
us armed forces	Quân Độ Hoa Kỳ
us dollar	Mỹ Kim
usa	Mỹ
usis	Sở Thông Tin Hoa Kỳ
usom	Du Xom
usurp	bá chiếm
utter	buông lời
valiant	anh dũng
valuable lesson	bài học quý giá
vanish	biến mất
vanish; (2) to change	biến
variable	biến số
variance	biến tố
variant	biến thể
variation	biến tiết
vary	biến đổi
vast	bao la
vat)	GTGT
vatican; central building of a religion	Tòa Thánh
vc	Vi Xi
veda	Vệ Ðà
venus	Kim Tinh
very sad	buồn rượi
vientiane	Vạn Tượng
viet cong	Vi Xi
vietcombank	Ngân Hàng Thương Mại
vietminh	Việt Minh
vietnam	Việt Nam
vietnam bank for agriculture	Ngân Hàng Nông Nghiệp
vietnam economic times	Việt Nam kinh tế thời báo
vietnam of old	Việt Nam ngày xưa
vietnamese	Việt
vietnamese - chinese	Việt Hoa
vietnamese air force	Không Quân Việt Nam
vietnamese and russia alike	Việt Nam cũng như Nga
vietnamese as well as russian	Việt Nam cũng như Nga
vietnamese communists	Việt Cộng
vietnamese embassy	Sứ Quán Việt Nam
vietnamese king (1840-1883)	Tự Đức
vietnamese language	Việt ngữ
vietnamese new year’s festival	Tết Nguyên Đán
vietnamese news agency	Thông Tấn Xã Việt Nam
vietnamese resident	Việt kiều
vietnamese studies	Việt học
vietnamese version of the cinderella story	Tấm Cám
vietnamese-english	Việt-Anh
vietnamese-french	Việt-Pháp
vietnamization; to translate into vietnamese	Việt Nam hóa
villa	biệt thự
violence	biến động
visit	bái kiến
việt công	VC
việt nam	VN
việt nam công hoa	VNCH
vladivostok	Hải Sâm Uy
voice of america	Tiếng Nói Hoa Kỳ
voltage transformer	biến điện áp
volubly	bai bải
vote; a vote	biểu quyết
vs.	bài
waffle	bánh quế
walking	biết đi
want to sleep	buồn ngũ
war	binh hỏa
war situation	binh thế
warfare	binh hỏa
warsaw	Vacxava
washington	Hoa Thịnh Đốn
waste	buông quăng bỏ vãi
wavemeter	ba kế
way	bài
weapon	binh khí
wearing a dismal face from sadness	buồn rượi
welfare	an sinh
west	Tây
west germany	Tây Đức
west indies	Tây Ấn
western	Tây
western europe; the west	Tây Âu
western hemisphere	Tây bán cầu
western-brand (e.g. product)	Tây hiệu
what are you yawning for?	Ngáp gì?
what can we do	biết làm thế nào được
what can we use as evidence?	Lấy gì làm bằng?
when	bao giờ
whenever	bao giờ
which color do you like best?	anh thích màu nào hơn
white american	Mỹ trắng
who	Tổ Chức Y Tế Thế Giới
who (doesn’t)	ai chẳng
who can remember?	ai mà nhớ được
who else?	ai nữa
who is it? who goes there?	ai đấy
who is there?	ai đó?
who knows	biết đâu
who knows?	ai mà biết được
whoever	ai ai cũng đều
wholesale	bán sỉ
why?	Sao vậy?
wide-mouthed vase	ang
wide; (6) to reject	bác
widow	bà góa
wife	bà vợ
wife (one’s own)	bà xã
wife of an official	bà lớn
wipe out	bài trừ
wish for	ao ước
with certainty	biết chắc
with pain	ai phong
without a trace	biền biệt
without any opinion of one’s own; yes-man	ba phải
workplace	an toàn lao động
world bank	Ngân Hàng Thế Giới
world health organization	Tổ Chức Y Tế Thế Giới
world war ii	Trận Thế Chiến Thứ Nhất
world wide web	Liên Mạng Toàn Cầu
worthless	ba lăng nhăng
wrap	bao trùm
wrapping	bao bì
write	biên soạn
write down	biên chác
writer	biên tập viên
xenophobic	bài ngoại
yearn for	ao ước
yeast cake	bánh bò
yellow american	Mỹ vàng
yellow flag (rebels)	Cờ Vàng
yellow-colored wedding pastry	bánh su sê
yes sir	Vậng ạ
you are going too fast	anh đi mau quá
you ought to go to play	anh nên đi chơi
young male driver	anh tài xế
young man	anh chàng
younger brother	bào đệ
yugoslavia	Nam Tư
yunnan	Vân Nam
home	nhà
dog	con chó
